Roman_Catholic_Diocese_of_Superior	0.4-0.5
Stewart_Hutton	0.4-0.5
BLU-109_bomb	0.4-0.5
Rugby_union_in_Asia	0.4-0.5
Central_Lakes_State_Trail	0.4-0.5
Gregg_Brandon	0.4-0.5
Rally_Ireland	0.4-0.5
George_Clifford_Wilson	0.5-0.6
Ulrike_Maier	0.5-0.6
Iowa_Highway_7	0.5-0.6
Robert_Alexander_(rugby_union_and_cricket)	0.5-0.6
Exchange_Quay_Metrolink_station	0.5-0.6
Nebraska_Highway_11	0.5-0.6
Gmina_Jaraczewo	0.5-0.6
1966–68_Liga_Leumit	0.5-0.6
Rogier_Koordes	0.5-0.6
Bob_Coverdale	0.5-0.6
Beeren_Island	0.5-0.6
Gemaal_Hussain	0.5-0.6
Tim_Hemp	0.5-0.6
Gerwyn_Edwards	0.5-0.6
Thomas_Pearsall_(cricketer)	0.5-0.6
Joseph_Smith_(cricketer)	0.5-0.6
Leading_Creek_(Ohio)	0.5-0.6
Paddy_Tuimavave	0.5-0.6
Hunterdon_Plateau	0.5-0.6
Mississippi_Hills_National_Heritage_Area	0.5-0.6
Chippenham_United_F.C.	0.5-0.6
Colin_Evans_(rugby)	0.5-0.6
Rabbit_River	0.5-0.6
Fred_J._Hume_Award	0.5-0.6
Andrew_Carter_(cricketer)	0.5-0.6
Andrew_Hele	0.5-0.6
Atiq-ul-Rehman	0.5-0.6
Czech_Republic_men's_national_ice_hockey_team	0.5-0.6
House_of_Palatinate-Birkenfeld	0.5-0.6
James_Barrow	0.5-0.6
Julius_Scriver	0.5-0.6
Penske_PC-22	0.5-0.6
Progressive_Democratic_Party_(Tunisia)	0.5-0.6
Roger_Clitheroe	0.5-0.6
South_Gippsland_Highway	0.5-0.6
Wesley_Brown_Field_House	0.5-0.6
David_West_(basketball)	0.5-0.6
Malone_Area_Heritage_Museum	0.5-0.6
Petorca_Province	0.5-0.6
Jack_Kennedy_(hurler)	0.5-0.6
Doug_Insole	0.6-0.7
Texas_State_Highway_110	0.6-0.7
Love's_Welcome_at_Bolsover	0.6-0.7
Oriol_Lozano	0.6-0.7
Juan_Cruz_Ochoa	0.6-0.7
Colorado_State_Highway_94	0.6-0.7
Flavius_Justus	0.6-0.7
Michael_Youll	0.6-0.7
John_Moore_(cricketer,_born_1943)	0.6-0.7
Peter_Rochford	0.6-0.7
Augustus_Simon_Frazer	0.6-0.7
Gran_Omar	0.6-0.7
Jessica_Mauboy_discography	0.6-0.7
Manti_National_Forest	0.6-0.7
Green_Lane_railway_station	0.6-0.7
Cyclone_Taylor_Trophy	0.6-0.7
Province_of_Calatayud	0.6-0.7
Halsey_Beshears	0.6-0.7
Commonwealth_men	0.6-0.7
Cave_Rock_Tunnel	0.6-0.7
Barrett_Green	0.6-0.7
Electoral_district_of_Colton	0.6-0.7
New_Manchester	0.6-0.7
Frank_S._Pepper	0.6-0.7
Aaron_Thomas_(cricketer)	0.6-0.7
Assembly_of_European_Wine-producing_Regions	0.6-0.7
Bering_Sea_Squadron	0.6-0.7
G-sharp_major	0.6-0.7
Hughie_Wilson	0.6-0.7
Nidderdale_Way	0.6-0.7
Philip_Threlfall	0.6-0.7
Roy_Vincent	0.6-0.7
Urla_Clashes	0.6-0.7
Ya'akov_Riftin	0.6-0.7
Shaka_Smart	0.6-0.7
2010_Marshall_Thundering_Herd_football_team	0.6-0.7
Jackie_Tyrrell	0.6-0.7
Hong_Kong_Family_Welfare_Society	0.6-0.7
CA_Saint-Étienne_Loire_Sud_Rugby	0.6-0.7
Rapp_Road_Community_Historic_District	0.6-0.7
4769_Castalia	0.7-0.8
William_Wood,_1st_Baron_Hatherley	0.7-0.8
Jeanne_d'Évreux	0.7-0.8
M-79_(Michigan_highway)	0.7-0.8
Johnny_Moss	0.7-0.8
Donald_Hogarth	0.7-0.8
Luc_Alphand	0.7-0.8
Electoral_district_of_Murray-Darling	0.7-0.8
Shorkot	0.7-0.8
Source_of_the_Nile_(board_game)	0.7-0.8
Jimmy_Rooney	0.7-0.8
Enticho_(woreda)	0.7-0.8
Fresia,_Chile	0.7-0.8
NTFS-3G	0.7-0.8
The_Great_White_Hope_(film)	0.7-0.8
Peire_Pelet	0.7-0.8
New_York_Yankees_(1936_AFL)	0.7-0.8
Doug_Melvin_(rower)	0.7-0.8
Hassanine_Sebei	0.7-0.8
Andrew_Procter_(cricketer)	0.7-0.8
Sturgeon_House	0.7-0.8
Ubaoner	0.7-0.8
Daniel_Levy_(politician)	0.7-0.8
Pawnee_Rangers	0.7-0.8
Río_Verde,_Chile	0.7-0.8
Bulgarian_Black_Sea_Coast	0.7-0.8
Colombo_West_Electoral_District	0.7-0.8
Jacob_de_Jager	0.7-0.8
Kazuo_Aoki	0.7-0.8
Law_&_Order_(season_16)	0.7-0.8
Love_&_Life_(Mary_J._Blige_album)	0.7-0.8
Marcus_Thomas_Pius_Gilbert	0.7-0.8
R._F._Bayford	0.7-0.8
Roland_Hyatt	0.7-0.8
Scotch_and_Soda	0.7-0.8
Sherwin_Campbell	0.7-0.8
Simon_L._Adler	0.7-0.8
Steep_Falls,_Maine	0.7-0.8
Teddy_Holland	0.7-0.8
Württemberger	0.7-0.8
Château_d'Oiron	0.8-0.9
Malcolm_Azania	0.8-0.9
Messier_49	0.8-0.9
EMD_E8	0.8-0.9
X_Corps_(Union_Army)	0.8-0.9
Nembrionic	0.8-0.9
Giovanni_Battista_Landolina	0.8-0.9
Human_image_synthesis	0.8-0.9
Gender_binary	0.8-0.9
Steve_Durbano	0.8-0.9
Diabolique_(band)	0.8-0.9
Krasi,_Thalassa_Kai_T'_Agori_Mou	0.8-0.9
Iemasa_Tokugawa	0.8-0.9
Frank_A._Moore	0.8-0.9
Genesis_Group	0.8-0.9
George_Waddell	0.8-0.9
Alexander_MacDonnell,_3rd_Earl_of_Antrim	0.8-0.9
Marksville_culture	0.8-0.9
Cody_monoplane	0.8-0.9
Battle_of_Vila_Velha	0.8-0.9
Taifa_of_Badajoz	0.8-0.9
2011_Valencian_Community_motorcycle_Grand_Prix	0.8-0.9
Rio_Grande_Association	0.8-0.9
Men_at_Work_(season_1)	0.8-0.9
King_Diamond_discography	0.8-0.9
OK_Hotel	0.8-0.9
Penn_State_Lady_Lions_basketball	0.8-0.9
Tom_Baxter_(footballer_born_1903)	0.8-0.9
World_Without_Superman	0.8-0.9
Bill_Schulz	0.8-0.9
Brian_Tamberlin	0.8-0.9
Harry_Hooper_(footballer_born_1910)	0.8-0.9
Jiří_Třanovský	0.8-0.9
Manfred_Seissler	0.8-0.9
Marillier_shot	0.8-0.9
Oregon_Route_10	0.8-0.9
Party_of_New_Forces	0.8-0.9
River_Bride	0.8-0.9
St._Michael_the_Archangel_Church_(Cleveland,_Ohio)	0.8-0.9
Tommy_Cairns	0.8-0.9
Nether_Poppleton_Tithebarn	0.9-1.0
Solemn_League_and_Covenant	0.9-1.0
Bioneers	0.9-1.0
Ficoll	0.9-1.0
James_Motluk	0.9-1.0
Spondylosoma	0.9-1.0
Live_Nation_UK	0.9-1.0
Tony_Blanco	0.9-1.0
Janene_Higgins	0.9-1.0
Jablanica_(river)	0.9-1.0
Frank_Coombs	0.9-1.0
Jiří_Třanovský	0.9-1.0
John_Burton_(political_agent)	0.9-1.0
Satavahana_Express	0.9-1.0
Joseph_J._Cannon	0.9-1.0
Jan-Erasmus_Quellinus	0.9-1.0
Jeremy_Davis	0.9-1.0
June_Preisser	0.9-1.0
Sopwith_1919_Schneider_Cup_Seaplane	0.9-1.0
Madarihat	0.9-1.0
A_Trip_Down_Memory_Lane	0.9-1.0
2010_NASCAR_Canadian_Tire_Series_season	0.9-1.0
Ruby_B._DeMesme	0.9-1.0
Colombophis	0.9-1.0
Wijnand_van_der_Sanden	0.9-1.0
Central_Appalachian_pine-oak_rocky_woodland	0.9-1.0
1994_Winter_Olympics_opening_ceremony	0.9-1.0
Children_in_Need_Rocks_Manchester	0.9-1.0
MV_Tustumena	0.9-1.0
Nelsonic_Industries	0.9-1.0
Steadfastness_and_Confrontation_Front	0.9-1.0
Hockley_Valley_Provincial_Nature_Reserve	0.9-1.0
Alfred_Conkling_Coxe,_Sr.	0.9-1.0
Andy_Flynn_(footballer)	0.9-1.0
Chetco_people	0.9-1.0
Claudiopolis_(Cilicia)	0.9-1.0
Daniel_Bovet	0.9-1.0
William_Carr_Lane	0.9-1.0
Yakov_Malkiel	0.9-1.0
Maxwell_Hunter	0.9-1.0
Jacques_Thibaud	1
Nucleoid	1
Mondo_2000	1
Omicron2_Canis_Majoris	1
Andrea_Giganti	1
Julian_Knowles	1
Kilometre_Zero_(Bucharest)	1
Clara_Nordström	1
Matt_Higgins_(ice_hockey)	1
Todd_Wider	1
Tony_Drake	1
Furanocoumarin	1
Vijaya_Dasa	1
Hittin'_the_Trail_for_Hallelujah_Land	1
John_Wertheim	1
Rainer_Polak	1
Hagop_Sandaldjian	1
Evelyn_Fanshawe	1
Appollo_(dog)	1
Statue_of_Europe	1
José_Evangelista	1
May_Peterson_Thompson	1
Matt_Kohler	1
Gabriel_Bouvery	1
Lubov_Egorova	1
Parkway_Center_Mall	1
Frances_Carpenter	1
2009_Superfinalen	1
Alfred_Schickel	1
Empower_MediaMarketing	1
Mike_Smith_(jazz_saxophonist)	1
Putin's_rynda	1
Richard_of_Salerno	1
Yellowback_stingaree	1
Theramine	1
Whitesands_Bay_(Pembrokeshire)	1
AutoTrack	1
Douglas_Dickinson	1
Goh_Seng_Choo_Gallery	1
Hama_Yumi	1
