% 1. Title: Select Entities Short 
%
% 2. Sources: 
% (a) Creator: Patrice Lopez 
% (c) Date: May 2014 
%
@RELATION erd2014 
@attribute prob_c REAL
@attribute prob_i REAL
@attribute frequencyStrict NUMERIC
@attribute termLength NUMERIC
@attribute inDictionary {false,true}
@attribute isSubTerm {false,true}
@attribute ner_st {false,true}
@attribute ner_id {false,true}
@attribute preferred_term {false,true}
@attribute entity? {Y,N}

@data
0.713439,0.0,392,1,true,false,false,false,false,N
0.0613493,0.0,795,1,true,false,false,false,false,N
0.209857,0.0,688,1,true,false,false,false,false,N
0.998373,0.265076,2938,2,false,false,true,false,false,Y
0.421684,0.0,1263,1,true,false,false,false,false,N
1.0,0.0,99,2,false,false,true,false,false,Y
0.340598,0.262667,1111,1,false,false,true,false,false,Y
0.394595,0.0,219,1,true,false,false,false,false,N
0.828091,0.0,7293,1,true,false,false,false,false,N
0.997956,0.00194761,4243,1,false,false,true,false,false,Y
0.395721,0.2847764,1120,1,true,false,false,false,false,N
0.97769,0.0,480,1,true,false,false,false,false,N
1.0,0.386788,23339,2,false,false,true,false,true,Y
0.853489,0.0,871,1,true,false,false,false,false,N
0.853489,0.0,871,1,true,false,false,false,false,N
1.0,0.190981,885,2,false,false,true,false,true,Y
0.507528,0.0,40669,1,true,false,false,false,false,N
0.800768,0.0,117938,1,false,true,true,false,false,N
0.928803,0.0,63,1,false,false,false,false,false,N
0.609195,0.0,82,1,false,false,false,false,false,N
0.40771,0.351933,1143,1,false,false,true,false,false,N
0.990066,0.01252763,156,1,false,false,true,false,false,Y
0.324645,0.103934,841,1,true,false,false,false,false,N
0.75,0.0,20,2,true,false,false,false,false,N
1.0,0.0,2,3,false,false,false,false,false,N
1.0,0.00985915,166,2,false,false,true,false,true,N
1.0,0.0,1,3,false,false,false,false,false,Y
0.49575,0.0,26368,1,false,true,false,false,false,N
0.196867,0.0,1048,1,true,false,false,false,false,N
0.71103,0.00197459,33510,1,false,true,true,false,false,N
0.471092,0.0,171,1,false,false,false,false,false,N
0.29257,0.0,792,1,true,false,false,false,false,N
0.800768,0.0,117938,1,false,true,true,false,false,Y
1.0,0.0,3413,2,false,false,false,false,true,Y
0.0719208,0.010087,162,3,false,false,false,false,true,N
0.33504,0.5000464,2836,1,true,false,false,false,false,N
0.28,0.00664767,7,2,true,false,false,false,false,N
0.268354,0.0,351,1,true,false,false,false,false,N
0.469527,0.493395,1718,1,false,false,true,false,false,Y
1.0,0.0036643199999999996,12625,2,false,false,true,false,true,Y
0.368234,0.0,622,1,false,false,false,false,false,N
0.585536,0.0,6062,1,false,false,true,false,false,N
0.677432,0.150507,1004,1,false,false,true,false,false,N
0.565018,0.0,17889,1,true,true,false,false,false,N
0.534081,0.00123508,1092,1,true,false,true,false,false,Y
0.955124,0.0,83620,1,false,true,true,false,false,N
0.759992,0.0164134,2030,1,true,false,false,false,false,N
0.127036,0.0,212,1,false,false,false,false,false,N
0.722174,0.0,5949,1,true,true,false,false,false,N
0.963959,0.0,4652,1,false,false,true,false,false,Y
1.0,0.27085985,1652,2,false,false,true,false,false,Y
1.0,0.082225,2891,2,false,false,true,false,true,Y
0.993989,0.0,2999,2,false,false,false,false,false,N
0.220349,0.0,345,1,false,false,false,false,false,N
0.436177,0.0,1108,1,true,false,false,false,false,N
0.654152,0.22881,367,2,false,false,true,false,false,N
0.303433,0.0,1776,1,true,false,false,false,false,N
0.536098,0.0,260,1,true,false,false,false,false,N
0.565018,0.0,17889,1,true,true,false,false,false,N
0.74,0.0,74,1,true,false,false,false,false,N
0.137194,0.14046531999999998,526,1,true,false,false,false,false,N
0.107539,0.0,485,1,false,false,false,false,false,N
0.238508,0.0,2325,1,true,false,false,false,false,N
1.0,0.0,11268,2,false,false,false,false,true,Y
0.455981,0.68877893,10194,1,false,true,false,false,false,N
